CalenderYear,SpringTerm,SummerTerm,FallTerm
2001,1014,1016,1022
2002,1024,1026,1032
2003,1034,1036,1042
2004,1044,1046,1052
2005,1054,1056,1062
2006,1064,1066,1072
2007,1074,1076,1082
2008,1084,1086,1092
2009,1094,1096,1102
2010,1104,1106,1112
2011,1114,1116,1122
2012,1124,1126,1132
2013,1134,1136,1142
2014,1144,1146,1152
2015,1154,1156,1162
2016,1164,1166,1172
2017,1174,1176,1182
2018,1184,1186,1192
2019,1194,1196,1202
2020,1204,1206,1212
2021,1214,1216,1222
2022,1224,1226,1232
2023,1234,1236,1242
2024,1244,1246,1252
2025,1254,1256,1262
2026,1264,1266,1272
2027,1274,1276,1282
2028,1284,1286,1292
2029,1294,1296,1302
2030,1304,1306,1312
2031,1314,1316,1322
2032,1324,1326,1332
2033,1334,1336,1342
2034,1344,1346,1352
2035,1354,1356,1362
2036,1364,1366,1372
2037,1374,1376,1382
2038,1384,1386,1392
2039,1394,1396,1402
2040,1404,1406,1412
2041,1414,1416,1422
2042,1424,1426,1432
2043,1434,1436,1442
2044,1444,1446,1452
2045,1454,1456,1462
2046,1464,1466,1472
2047,1474,1476,1482
2048,1484,1486,1492
2049,1494,1496,1502
2050,1504,1506,1512
